iter	Passed	Remaining
412	3635	5166
413	3643	5157
414	3653	5150
415	3664	5144
416	3673	5136
417	3683	5128
418	3692	5120
419	3702	5112
420	3712	5105
421	3721	5097
422	3731	5089
423	3740	5081
424	3750	5073
425	3759	5065
426	3768	5057
427	3778	5049
428	3788	5042
429	3798	5035
430	3808	5027
431	3818	5020
432	3828	5013
433	3838	5005
434	3847	4997
435	3856	4989
436	3868	4983
437	3878	4976
438	3887	4967
439	3896	4959
440	3906	4951
441	3915	4943
442	3924	4934
443	3935	4927
444	3945	4921
445	3954	4912
446	3965	4905
447	3974	4897
448	3983	4888
449	3994	4881
450	4002	4872
451	4013	4865
452	4022	4856
453	4032	4849
454	4043	4842
455	4052	4834
456	4062	4826
457	4071	4817
458	4080	4809
459	4091	4802
460	4100	4794
461	4110	4787
462	4120	4779
463	4129	4770
464	4139	4762
465	4148	4753
466	4157	4745
467	4167	4737
468	4178	4730
469	4188	4723
470	4197	4714
471	4206	4705
472	4214	4696
473	4224	4688
474	4234	4679
475	4244	4672
476	4254	4664
477	4263	4656
478	4273	4648
479	4283	4640
480	4292	4631
481	4302	4623
482	4311	4614
483	4322	4608
484	4332	4600
485	4340	4591
486	4350	4582
487	4359	4574
488	4369	4565
489	4378	4557
490	4387	4548
491	4397	4540
492	4407	4532
493	4418	4525
494	4427	4516
495	4438	4509
496	4448	4501
497	4457	4493
498	4467	4484
499	4476	4476
500	4485	4467
501	4494	4459
502	4505	4451
503	4515	4443
504	4525	4435
505	4535	4428
506	4544	4419
507	4554	4410
508	4564	4402
509	4573	4394
510	4582	4385
511	4591	4376
512	4600	4367
513	4610	4359
514	4619	4350
515	4629	4342
516	4638	4333
517	4648	4324
518	4657	4316
519	4665	4306
520	4675	4298
521	4683	4289
522	4693	4280
523	4702	4271
524	4712	4263
525	4724	4257
526	4733	4248
527	4743	4240
528	4753	4232
529	4763	4224
530	4772	4215
531	4782	4206
532	4791	4198
533	4800	4188
534	4810	4180
535	4818	4171
536	4829	4163
537	4838	4155
538	4847	4146
539	4857	4137
540	4866	4129
541	4877	4121
542	4887	4113
543	4897	4105
544	4908	4097
545	4918	4089
546	4928	4081
547	4938	4073
548	4948	4065
549	4959	4057
550	4968	4049
551	4978	4040
552	4989	4032
553	4999	4025
554	5010	4017
555	5020	4009
556	5030	4001
557	5040	3993
558	5050	3984
559	5060	3975
