iter	RMSE
0	1895.544706
1	1748.87403
2	1611.631877
3	1486.239172
4	1370.342822
5	1264.823739
6	1168.091327
7	1080.903935
8	1001.534588
9	928.215281
10	862.8184596
11	801.0583223
12	745.1320157
13	693.5311225
14	646.0693335
15	603.4172794
16	562.6605544
17	527.2143892
18	495.3917732
19	466.8481921
20	439.0806897
21	412.6354883
22	390.8915989
23	371.3579768
24	351.2371984
25	335.3680683
26	318.0466935
27	302.1668732
28	288.4648163
29	276.7948226
30	266.2243109
31	255.6348429
32	246.9188128
33	237.8593112
34	230.7302318
35	223.113974
36	216.4650261
37	211.6267477
38	207.2022333
39	202.7550145
40	199.2380869
41	194.0572713
42	190.8146366
43	187.2518753
44	183.5068729
45	180.2838456
46	177.4082964
47	173.8911743
48	171.5419427
49	168.8881417
50	166.4547725
51	164.4987714
52	162.5478287
53	160.7124077
54	159.5748408
55	158.4570053
56	157.1131618
57	155.6925172
58	154.5930176
59	153.89739
60	152.4964286
61	151.9281292
62	151.175811
63	149.8850876
64	148.7977156
65	148.0067182
66	147.1348917
67	146.3529871
68	145.5612139
69	144.835898
70	144.0862552
71	143.2820645
72	142.4526611
73	141.8747395
74	141.0520314
75	140.4630392
76	139.8645243
77	139.3046092
78	138.7617515
79	138.0391853
80	137.5686088
81	137.0984682
82	136.4932541
83	136.1058997
84	135.544791
85	135.1315373
86	134.645399
87	134.2117516
88	133.8048717
89	133.4144521
90	132.583203
91	132.1749956
92	131.8131552
93	131.3285348
94	130.8059061
95	130.4158498
96	129.8227954
97	129.4688413
98	129.0334561
99	128.6799885
100	128.2395695
101	127.9114058
102	127.5017479
103	127.2689922
104	127.0004236
105	126.6793513
106	126.1674225
107	125.885923
108	125.5010821
109	125.2652433
110	124.957377
111	124.7145478
112	124.3111238
113	124.0352192
114	123.7911493
115	123.3151781
116	123.1479689
117	123.0231056
118	122.7694299
119	122.4581667
120	122.1501745
121	121.8902432
122	121.6520868
123	121.4255862
124	121.0816023
125	120.9521206
126	120.8059425
127	120.5961727
128	120.3423607
129	120.021963
130	119.7208655
131	119.4721112
132	119.2316058
133	118.9875608
134	118.7117639
135	118.4486531
136	118.2710939
137	118.0955539
138	117.9440815
139	117.7514916
140	117.4388235
141	117.2515928
142	117.0516728
143	116.8819795
144	116.7512402
145	116.578081
146	116.4352826
147	116.1817806
148	115.6687118
149	115.5309423
150	115.3818344
151	115.1387451
152	114.9722157
153	114.8116939
154	114.6510472
155	114.5418144
156	114.1237429
157	113.9488993
158	113.8150279
159	113.6836298
160	113.5819931
161	113.3625219
162	113.2086944
163	113.1106659
164	112.9988351
165	112.6774961
166	112.5491312
167	112.445776
168	112.1649321
169	112.0215777
170	111.7280866
171	111.6183151
172	111.5285053
173	111.3266513
174	111.2552418
175	111.1841354
176	110.9046719
177	110.7835383
178	110.6079785
179	110.3306707
180	110.0668981
181	109.9908419
182	109.8380515
183	109.6756562
184	109.5919882
185	109.3597437
186	109.2495483
187	109.1070569
188	108.8638979
189	108.7877607
190	108.6331543
191	108.5656487
192	108.4361353
193	108.2430984
194	108.0703874
195	107.9323515
196	107.7978524
197	107.5340026
198	107.3660862
199	107.2204547
200	107.0889006
201	106.8777969
202	106.7143348
203	106.5153253
204	106.2776768
205	106.1624676
206	106.0924662
207	105.8331062
208	105.7979166
209	105.6062638
210	105.4941452
211	105.313159
212	105.1417857
213	105.0521326
214	104.9718003
215	104.8172161
216	104.7007289
217	104.5933809
218	104.3744766
